SteamAppid,Description,Type,Name,Publishers,Developers,isFree,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
2200,"Los mejores guerreros de todos los tiempos han sido convocados para combatir y entretener a una antigua raza alienígena. Empuña diversas armas y potenciadores, y lucha por la gloria contra combatientes despiadados en este frenético FPS para uno o varios jugadores.",game,Quake III Arena,id Software,id Software,false,true,false,false,3 AGO 2007,false,ARS,67,ARS 240.00,"ARS$ 79,20"
2210,"Formas parte del pelotón Rino y encabezas la invasión militar de la Tierra un planeta alienígena hostil. Pero en esta guerra desesperada por la supervivencia contra un enemigo implacable, descubrirás que el único modo de derrotarle es... convertirte en uno de ellos.",game,Quake 4,Bethesda Softworks,"RavenSoft, id Software",false,true,false,false,4 AGO 2011,false,ARS,67,ARS 240.00,"ARS$ 79,20"
2360,"Mientras el elfo Sidhe Corvus combatía contra las malvadas fuerzas de D'Sparil, los Jinetes Serpiente restantes estaban ocupados corrompiendo otras dimensiones. Como guerrero, mago o clérigo, debes defender tu mundo, Cronos, frente al segundo Jinete Serpiente conocido como Korax.",game,Hexen: Beyond Heretic,id Software,Raven Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
2400,The Ship is a murder mystery multiplayer.,game,The Ship: Murder Party,Blazing Griffin,Outerlight Ltd.,false,true,false,false,11 JUL 2006,false,ARS,0,ARS 129.99,"ARS$ 129,99"
2390,"En un mundo corrompido por la perversa magia de tres hermanos conocidos como los Jinetes Serpiente, eres un hereje. Al ser uno de los últimos elfos Sidhe y un mago hábil, te embarcas en una misión para vengarte de quienes masacraron a tus amigos y familiares y aniquilaron a toda tu raza.",game,Heretic: Shadow of the Serpent Riders,id Software,Raven Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
2300,"El infierno ha invadido la Tierra y, para salvarla, deberás luchar contra demonios más poderosos aún usando armas más potentes todavía. En la secuela del revolucionario DOOM (1993) aparecen la superescopeta, el infame Icono del Pecado y más acción a raudales de FPS.",game,DOOM II,id Software,id Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
2280,"Eres uno de los mejores marines de la Tierra, destinado en la instalación de investigación de la UAC en Marte. Un fallo en un experimento abre un portal al infierno y unos demonios sanguinarios infestan la base. Deberás abrirte paso a tiros para poder sobrevivir.",game,DOOM (1993),id Software,id Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
2320,"Eres la última esperanza de la humanidad contra los Strogg, una raza alienígena que libra una guerra contra la Tierra. Prueba este FPS de ciencia ficción en una versión para plataformas modernas que incluye gráficos mejorados, nuevo contenido de campaña, modos cooperativos/multijugador online y más.",game,Quake II,Bethesda Softworks,"id Software, Nightdive Studios, MachineGames",false,true,false,false,3 AGO 2007,false,ARS,0,ARS 1799.00,"ARS$ 1.799,00"
2370,"Hexen: Deathkings of the Dark Citadel, un shooter de fantasía oscura en primera persona, es la expansión de Hexen: Beyond Heretic. Tras descubrir la Esfera del Caos, has aparecido en el Reino de los Muertos. Ahora, la Dark Citadel bloquea la única forma de volver a tu hogar.",game,Hexen: Deathkings of the Dark Citadel,id Software,Raven Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
2310,"Desarrollado por el galardonado equipo de id Software, Quake® es el innovador shooter en primera persona de fantasía oscura que inspiró los shooters de estilo retro de hoy en día. Con Quake (Enhanced), disfruta de la versión auténtica, actualizada y visualmente mejorada del original.",game,Quake,Bethesda Softworks,"id Software, Nightdive Studios, MachineGames",false,true,false,false,3 AGO 2007,false,ARS,67,ARS 399.00,"ARS$ 131,67"
2270,"La Segunda Guerra Mundial causa estragos. Los nazis planean crear un ejército imparable de mutantes. Cuando estabas en una misión para robar los planos secretos, te capturaron y encerraron. Ahora, gracias a un golpe de suerte, tienes la oportunidad de escapar, pero los pasillos laberínticos y los nazis de gatillo fácil se interponen en...",game,Wolfenstein 3D,Bethesda Softworks,id Software,false,true,false,false,3 AGO 2007,false,ARS,99,ARS 85.00,"ARS$ 0,00"
