SteamAppid,Description,Type,Name,Publishers,Developers,isFree,InterfaceLanguages,FullAudioLanguages,SubtitlesLanguages,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
39000,"La NASA acaba de aterrizar de nuevo en la superficie lunar con el objetivo de colonizarla, investigarla y explorarla con más profundidad. Poco después de regresar a la Luna, la NASA ha establecido un pequeño puesto avanzado en el polo sur llamado Moonbase Alpha.",game,Moonbase Alpha,NASA,"Virtual Heroes, Army Game Studio",true,Inglés,No hay soporte para este tipo de idioma,Inglés,true,false,false,6 JUL 2010,false,,0,ARS 0.00,
39120,Elige tu bando. Repele las invasiones. Entra en The RIFT®,game,RIFT,gamigo US Inc.,gamigo US Inc.,true,"Francés, Alemán, Inglés<strong>*</strong>","Francés, Alemán","Francés, Alemán, Inglés<strong>*</strong>",true,false,false,1 MAR 2011,false,,0,ARS 0.00,
39110,"Tu esposo Richard yace muerto bajo las flores de cerezo en el antiguo Japón, y la policía no ayuda en nada. Recorre la historia y descubre la verdad que nadie descubrirá. ¡Encuentra pistas perversamente ocultas, explora lugares exóticos y lleva al asesino ante la justicia!",game,SEASON OF MYSTERY: The Cherry Blossom Murders,Square Enix,Square Enix,false,"Inglés, Francés, Alemán, Japonés, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Japonés, Español de España",true,false,false,3 FEB 2010,false,ARS,0,ARS 67.99,"ARS$ 67,99"
39140,"¡El clásico de los juegos de rol FINAL FANTASY VII vuelve para PC, ahora con nuevas características en línea!",game,FINAL FANTASY VII,Square Enix,Square Enix,false,"Inglés, Alemán, Francés, Español de España",No hay soporte para este tipo de idioma,"Inglés, Alemán, Francés, Español de España",true,false,false,4 JUL 2013,false,ARS,0,ARS 149.99,"ARS$ 149,99"
39150,"Son tiempos de guerra. Galbadia, una superpotencia mundial, declara la guerra a Dollet, un país vecino cuya academia militar alberga a dos verdaderas personalidades: el exaltado Seifer y el lobo solitario Squall Leonhart, tan enfrentados entre ellos como lo está su país con Galbadia.",game,FINAL FANTASY VIII,Square Enix,Square Enix,false,"Inglés, Francés, Italiano, Alemán, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Italiano, Alemán, Español de España",true,false,false,5 DIC 2013,false,ARS,0,ARS 149.99,"ARS$ 149,99"
39210,Forma parte de un alucinante viaje en un increíble FINAL FANTASY en constante evolución mientras emprendes aventuras y exploras el mundo con amigos de todo el mundo,game,FINAL FANTASY XIV Online,Square Enix,Square Enix,false,"Inglés, Francés, Alemán, Japonés<strong>*</strong>","Inglés, Francés, Alemán","Inglés, Francés, Alemán, Japonés<strong>*</strong>",true,false,false,18 FEB 2014,false,ARS,0,ARS 224.99,"ARS$ 224,99"
39200,"Ha transcurrido una generación desde que acabaste con el mal que consumía la tierra de Ehb y ahora... una nueva amenaza toma forma. En Dungeon Siege II, la secuela del aclamado juego de rol de Gas Powered Games, volverás a tener que usar el acero y la magia para salvar al mundo de una abominación fraguada en el transcurso de muchos años.",game,Dungeon Siege II,Square Enix,Gas Powered Games,false,"Inglés, Francés, Alemán, Italiano, Japonés, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Japonés, Español de España",true,false,false,16 AGO 2005,false,ARS,0,ARS 94.99,"ARS$ 94,99"
39190,Dungeon Siege® combina los elementos absorbentes de un juego de rol con una intensidad espectacular y acción sin límites para sumergirte en un continuo mundo de fantasía en 3D donde te enfrentarás a un ejército del mal que ha sido despertado.,game,Dungeon Siege,Square Enix,Gas Powered Games,false,"Inglés, Francés, Alemán, Italiano, Japonés, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Japonés, Español de España",true,false,false,5 ABR 2011,false,ARS,0,ARS 94.99,"ARS$ 94,99"
39510,¡Gothic II: Gold Edition pone la emoción de Gothic II y la expansión Night of the Raven al alcance de tus dedos!,game,Gothic II: Gold Edition,THQ Nordic,Piranha Bytes,false,"Inglés, Francés, Alemán, Italiano, Español de España, Polaco, Ruso<strong>*</strong>","Inglés, Alemán, Polaco","Inglés, Francés, Alemán, Italiano, Español de España, Polaco, Ruso<strong>*</strong>",true,false,false,13 ENE 2010,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39530,"Painkiller Black Edition incluye la expansión Battle Out of Hell, que cuenta con 10 niveles adicionales para un jugador y nuevos villanos.",game,Painkiller: Black Edition,Prime Matter,People Can Fly,false,"Inglés, Francés, Alemán, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Español de España",true,false,false,24 ENE 2007,false,ARS,0,ARS 129.99,"ARS$ 129,99"
