id,app_id,name,description,fullgame_app_id,fullgame_name,type,publishers,developers,is_free,interface_languages,fullaudio_languages,subtitles_languages,windows,mac,linux,genre_id,type_genre,release_date,coming_soon,currency,initial_price,final_price,discount_percent,formatted_initial_price,formatted_final_price
1,2572820,Zra Stories,"Zra Stories es un juego de exploración basado en historias que combina aventura con elementos detectivescos. Juega en el papel de una joven cuidadora de la naturaleza, una maga con la capacidad de controlar los fenómenos naturales. Un encargo ordinario se convierte en una intensa investigación al llegar a la isla de Zra.",0,,game,Mykhail Konokh,Mykhail Konokh,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 23","Aventura, Indie",Por confirmarse,1,,0.0,0.0,0,,
2,2572600,MOLAR: Underground,"Dig in for handheld-inspired retro adventure as you become Molar with Mole a tenacious new character brought to life in this side-scrolling, 2-D, monochromatic indie game. Each new level presents growing challenges and memorable bosses you're sure to enjoy.",0,,game,Festive Jester Studios,Festive Jester Studios,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 23","Acción, Aventura, Indie",Próximamente,1,,0.0,0.0,0,,
3,2573350,Vampire's Kiss,"Unleash your lust and your thirst in a battle for the soul of London! Will passion lead you back to humanity, or will you embrace the night as a vampire?",0,,game,Heart's Choice,Heart's Choice,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,1,"23, 3","Indie, Rol",octubre de 2023,1,,0.0,0.0,0,,
4,2573490,Tongue Tale,"Join our little frog on a journey to save its world! Navigate through challenging levels in this hand-crafted platformer. With each leap and obstacle, you're one step closer to restoring balance. Dive in and help our amphibian hero make a difference!",0,,game,Remke Albrecht,Remke Albrecht,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 23","Acción, Aventura, Indie",4.º trimestre del 2023,1,,0.0,0.0,0,,
5,2573100,Unreal Lust Theory,"Dive into the seductive world of Unreal Lust Theory, a 3D adult game packed with quests and steamy encounters. Live out your fantasies as a 20-year-old, navigating interactions with a variety of alluring female characters. Embark on a journey where choices lead to thrilling outcomes.",0,,game,Inceton games,Inceton games,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 4, 3, 70","Aventura, Casual, Rol, Acceso anticipado",Por confirmarse,1,,0.0,0.0,0,,
6,2572630,The Girl with the Guitar,"Destroy robots by smashing them with a flying guitar in this swift, bullet-ridden action-adventure experience. On a journey of self-expression, master momentum and turn it into a deadly superpower against projectiles and enemies to save the galaxy and shred some awesome tunes along the way!",0,,game,Studio Chia LLC,Studio Chia LLC,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,1,"1, 25","Acción, Aventura",Próximamente,1,,0.0,0.0,0,,
7,2572850,FolcDark: Part I,"FolcDark: Part I is the sequel to the prologue of a third-person dark fantasy action-adventure game, with a story and characters focused on Brazilian folklore.",2372910,FolcDark: Prologue,dlc,Julio Oliveira,Julio Oliveira,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 4, 23","Acción, Aventura, Casual, Indie",Próximamente,1,,0.0,0.0,0,,
8,2573430,InteriorDay,Screenwrite differently!,0,,game,The Writer Zone,The Writer Zone,1,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"57, 58, 60","Utilidades, Producción de vídeo, Desarrollo de juegos",Próximamente,1,,0.0,0.0,0,,
9,2573440,Paradox Metal,This game was inspired by Japan's most famous stealth spy action game,0,,game,HypnosisSoft,HypnosisSoft,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 70","Acción, Acceso anticipado",septiembre de 2023,1,,0.0,0.0,0,,
10,2572150,MY VIRGIN ROOMMATE,"Eres un estudiante de primer año, enamorado de tu compañera de cuarto. Vive cinco días en el Colegio Virginia y quítale su inocencia. Mia te está esperando.",0,,game,Twisted Rabbits,Twisted Rabbits,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 23","Aventura, Indie",Próximamente,1,,0.0,0.0,0,,
