SteamAppid,Description,Type,Name,Publishers,Developers,isFree,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
420,"Half-Life&reg; 2: Episode Two es la segunda parte de la nueva trilogía creada por Valve que amplía la galardonada saga superventas Half-Life&reg;. Asumirás el papel del Dr. Gordon Freeman, visto por última vez escapando de Ciudad 17 con Alyx Vance en el mismo momento en que la Ciudadela entraba en erupción en medio de una tormenta de...",game,Half-Life 2: Episode Two,Valve,Valve,false,true,true,true,10 OCT 2007,false,ARS,0,ARS 104.99,"ARS$ 104,99"
360,"Half-Life Deathmatch: Source reinventa el primer juego multijugador ambientado en el universo de Half-Life. Incluye todas las armas clásicas y los mapas más populares, solo que con el motor Source.",game,Half-Life Deathmatch: Source,Valve,Valve,false,true,true,true,1 MAY 2006,false,ARS,0,ARS 765.00,"ARS$ 765,00"
440,"Nueve clases diferentes ofrecen una amplia variedad de habilidades tácticas y personalidades. Constantemente actualizado con nuevos modos de juego, mapas, equipamiento y, lo que es más importante, ¡sombreros!",game,Team Fortress 2,Valve,Valve,true,true,true,true,10 OCT 2007,false,,0,ARS 0.00,
550,"Ambientado en el apocalipsis zombi, Left 4 Dead 2 (L4D2) es la esperadísima secuela del galardonado Left 4 Dead, el juego cooperativo número 1 de 2008. Este FPS cooperativo de acción y terror os llevará a ti y a tus amigos por las ciudades, pantanos y cementerios del Sur Profundo, desde Savannah hasta Nueva Orleans, a lo largo de cinco...",game,Left 4 Dead 2,Valve,Valve,false,true,true,true,16 NOV 2009,false,ARS,0,ARS 765.00,"ARS$ 765,00"
500,"De la mano de Valve llega Left 4 Dead, un juego cooperativo de acción y terror en el que hasta cuatro jugadores se enfrentan a hordas de zombis y a terroríficos monstruos mutantes en una épica lucha por la supervivencia.",game,Left 4 Dead,Valve,Valve,false,true,true,false,17 NOV 2008,false,ARS,0,ARS 765.00,"ARS$ 765,00"
570,"Cada día, millones de jugadores de todo el mundo entran en batalla como uno de los más de cien héroes de Dota. Y no importa si es su décima hora de juego o la milésima, siempre hay algo nuevo que descubrir.",game,Dota 2,Valve,Valve,true,true,true,true,9 JUL 2013,false,,0,ARS 0.00,
630,Juego multijugador cooperativo y código base completo disponibles de forma gratuita.,game,Alien Swarm,Valve,Valve,true,true,false,false,19 JUL 2010,false,,0,ARS 0.00,
620,"¡La «Iniciativa de Prueba Perpetua» se ha ampliado, permitiéndote ahora diseñar puzles cooperativos para ti y tus amigos!",game,Portal 2,Valve,Valve,false,true,true,true,18 ABR 2011,false,ARS,0,ARS 765.00,"ARS$ 765,00"
730,"Counter-Strike: Global Offensive (CS:GO) amplía el juego de acción por equipos del que fue pionero cuando salió hace más de 20 años. CS:GO incluye nuevos mapas, personajes, armas y modos de juego, y ofrece versiones actualizadas del contenido clásico de Counter-Strike (de_dust2, etc.).",game,Counter-Strike: Global Offensive,Valve,"Valve, Hidden Path Entertainment",true,true,true,true,21 AGO 2012,false,,0,ARS 0.00,
1002,A piece of Steam history - THE FIRST EVER NON VALVE GAME TO APPEAR ON THE STEAM PLATFORM!,game,Rag Doll Kung Fu,Mark Healey,Mark Healey,false,true,false,false,12 OCT 2005,false,ARS,0,ARS 13.99,"ARS$ 13,99"
1256,"El Outbreak Character Pack añade 4 nuevos personajes jugables para Killing Floor como contenido descargable. Una vez hayas comprado el paquete, estos personajes aparecerán en la pantalla de selección de personaje, listos para escogerlos.",dlc,Killing Floor Outbreak Character Pack,Tripwire Interactive,Tripwire Interactive,false,true,true,true,24 JUL 2009,false,ARS,0,ARS 104.99,"ARS$ 104,99"
1250,"6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!",game,Killing Floor,Tripwire Interactive,Tripwire Interactive,false,true,true,true,14 MAY 2009,false,ARS,0,ARS 224.99,"ARS$ 224,99"
1200,Lucha en el campo de batalla que cambió el mundo para siempre. Lucha junto a tus compatriotas en algunos de los entornos más inhóspitos del Frente Oriental en Red Orchestra: Ostfront 41-45. Red Orchestra te sitúa en el combate multijugador en primera persona sobre la Segunda Guerra Mundial más realista hasta la fecha en PC y permite al...,game,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,false,true,true,true,14 MAR 2006,false,ARS,0,ARS 67.99,"ARS$ 67,99"
